               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11721,            0.031388,                   0,          0.00083333,                0.25,           0.0023706,          0.00042853,             0.10444,            0.023077,                   0,              0.0964,              0.0004,              0.0004
                   1,              0.1044,            0.030546,                   0,           0.0011667,                0.35,           0.0020538,          0.00035083,            0.092209,            0.021635,                   0,            0.091897,          0.00089703,          0.00089703
                   2,            0.097687,            0.029831,                   0,           0.0018333,                0.55,           0.0039743,            0.000692,            0.087712,            0.019686,                   0,            0.087391,           0.0013908,           0.0013908
                   3,            0.087103,            0.029954,                   0,           0.0018333,                0.55,             0.00471,          0.00090518,            0.084333,            0.018499,                   0,            0.082881,           0.0018812,           0.0018812
                   4,            0.082447,            0.027469,                   0,           0.0023333,                 0.7,           0.0080581,           0.0014567,            0.076478,            0.017736,                   0,            0.078368,           0.0023683,           0.0023683
                   5,            0.081016,            0.029465,                   0,               0.003,                 0.9,           0.0098373,           0.0023141,            0.068587,            0.017218,                   0,            0.073852,           0.0028522,           0.0028522
                   6,            0.074325,             0.02707,                   0,           0.0031667,                0.95,            0.048098,            0.012976,            0.061998,            0.015944,                   0,            0.069333,           0.0033327,           0.0033327
                   7,            0.072859,            0.025627,                   0,           0.0033333,                   1,             0.13148,            0.037669,            0.057552,            0.015846,                   0,             0.06481,           0.0038099,           0.0038099
                   8,            0.068774,            0.024512,                   0,           0.0033333,                   1,             0.32556,            0.079988,            0.060494,            0.014878,                   0,            0.060284,           0.0042838,           0.0042838
                   9,             0.06791,            0.022735,                   0,                   1,             0.19874,             0.66175,             0.31115,             0.05925,            0.013886,                   0,            0.055754,           0.0047545,           0.0047545
                  10,            0.066012,            0.021711,                   0,              0.7933,              0.1933,             0.51871,             0.20393,            0.060776,              0.0131,                   0,            0.051222,           0.0052218,           0.0052218
                  11,            0.066626,            0.022932,                   0,             0.91375,             0.53073,             0.79178,             0.23292,            0.059898,            0.012915,                   0,            0.046686,           0.0056858,           0.0056858
                  12,            0.065952,            0.022156,                   0,             0.60639,                 0.3,              0.6018,             0.29763,            0.061191,            0.012312,                   0,            0.042147,           0.0061466,           0.0061466
                  13,            0.063426,            0.024544,                   0,             0.55152,                 0.5,             0.60815,             0.24267,            0.068842,            0.010812,                   0,            0.037604,            0.006604,            0.006604
                  14,            0.062826,            0.021694,                   0,               0.653,                0.65,             0.74853,             0.38586,            0.070785,           0.0092316,                   0,            0.033058,           0.0070581,           0.0070581
                  15,             0.06667,             0.02061,                   0,             0.38834,                 0.5,             0.41325,             0.14253,            0.060079,            0.011251,                   0,            0.028509,           0.0075089,           0.0075089
                  16,            0.059592,            0.022446,                   0,             0.59484,                0.65,             0.72035,             0.32637,            0.060555,           0.0099583,                   0,            0.023956,           0.0079565,           0.0079565
                  17,            0.064828,             0.02158,                   0,             0.73725,             0.70156,             0.83898,              0.4335,            0.055637,            0.010427,                   0,            0.019401,           0.0084007,           0.0084007
                  18,            0.066622,            0.021365,                   0,             0.83328,                 0.8,             0.80939,             0.18617,            0.069589,           0.0083055,                   0,            0.014842,           0.0088416,           0.0088416
                  19,            0.055014,            0.019591,                   0,             0.74235,                0.75,             0.74985,             0.12443,            0.068585,           0.0083151,                   0,            0.010279,           0.0092793,           0.0092793
                  20,            0.068093,            0.018174,                   0,             0.84183,                0.75,             0.91341,             0.26385,            0.060135,           0.0094681,                   0,             0.00934,             0.00934,             0.00934
                  21,            0.057695,            0.019478,                   0,             0.99125,                0.75,             0.89875,             0.53059,            0.046542,            0.010378,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.055931,            0.019526,                   0,             0.16646,             0.51943,             0.22035,            0.059211,            0.070262,           0.0084791,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.052916,            0.019199,                   0,             0.87247,             0.68483,             0.74025,             0.11143,            0.069422,            0.007884,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.064421,            0.018342,                   0,             0.97946,                 0.8,             0.91368,             0.23453,            0.059344,           0.0093822,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.054681,            0.019698,                   0,             0.87944,             0.73022,             0.89804,             0.29234,            0.047667,            0.009882,                   0,            0.009208,            0.009208,            0.009208
                  26,              0.0516,            0.019916,                   0,             0.91521,             0.54037,             0.82229,             0.31416,            0.049264,            0.010396,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.046512,            0.019282,                   0,             0.50335,                0.85,             0.50688,             0.13882,             0.06024,           0.0086956,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.052291,            0.019383,                   0,             0.54186,                0.85,             0.53646,             0.18421,              0.0591,           0.0091572,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.048691,            0.019861,                   0,             0.91894,                 0.8,             0.90126,             0.26038,            0.053119,           0.0089474,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.04774,            0.017859,                   0,             0.59358,                0.85,             0.79297,             0.31232,            0.054584,            0.008625,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.043183,            0.016151,                   0,             0.42924,             0.90253,             0.63605,             0.29842,            0.052428,           0.0081987,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.049134,            0.017672,                   0,             0.80647,                 0.8,             0.90183,             0.57215,            0.044468,           0.0083818,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.043561,            0.017001,                   0,             0.97755,                0.85,             0.95668,             0.46643,            0.041891,           0.0089846,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.040391,            0.019699,                   0,             0.99288,                0.95,             0.99262,             0.66185,            0.034429,           0.0086536,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.037312,              0.0188,                   0,             0.93657,             0.73882,             0.89118,              0.5067,            0.044062,           0.0079527,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.051859,            0.015948,                   0,              0.9893,                 0.9,              0.9787,             0.53011,            0.035949,           0.0079165,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.040916,            0.013843,                   0,             0.89602,             0.86215,             0.92335,             0.68671,            0.045127,           0.0073247,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.045241,            0.016381,                   0,                   1,             0.89844,             0.97162,             0.36065,            0.042805,           0.0076437,                   0,            0.008779,            0.008779,            0.008779
